ID	HINT	ANSWER	ISNAME	TYPEIN	
	Hint	Answer			
xlHyC8os	987653	976853	N	r:^357689|^358697|^358769|^368579|^368597|^368957|^376589|^378569|^385967|^387659|^389567|^395687|^538697|^539687|^563897|^563987|^567389|^578693|^583697|^583769|^586793|^586973|^587693|^589763|^635879|^639857|^653789|^653879|^657893|^657983|^658379|^659783|^659873|^675839|^678593|^683597|^683759|^683957|^685739|^685793|^685973|^687359|^687593|^689357|^695873|^697583|^735689|^753689|^756839|^758963|^763859|^765389|^765893|^765983|^768359|^768953|^783569|^785693|^785963|^789653|^796583|^796853|^837659|^857369|^857963|^865379|^865937|^869753|^873569|^873659|^876593|^879653|^893567|^893657|^895673|^896537|^896573|^897563|^935687|^936587|^956387|^958367|^958637|^958673|^967583|^968537|^968573|^976853	
cw1pp8Y4	987652	986257	N	r:^257689|^257869|^258697|^258967|^259867|^265987|^268759|^276589|^285697|^289657|^296587|^527869|^528679|^528967|^529687|^562789|^562897|^562987|^567829|^568279|^587269|^625789|^627859|^628759|^629857|^657289|^658279|^682597|^685297|^689257|^698527|^726589|^728659|^756289|^756829|^758269|^758629|^768259|^782659|^785269|^825679|^825697|^826759|^826957|^829657|^852769|^856279|^856927|^857629|^859267|^862957|^865729|^867259|^869257|^872659|^875269|^875629|^876529|^892657|^895627|^926587|^952687|^958627|^962587|^986257	
fifJixoi	987643	987463	N	r:^348769|^364879|^367849|^368947|^369487|^384697|^398467|^438769|^438967|^439687|^439867|^463987|^467893|^468739|^468973|^478963|^483697|^486379|^486397|^489367|^489673|^498367|^637489|^639487|^643879|^647839|^647893|^648379|^648937|^649783|^678493|^678943|^679843|^683479|^684379|^684793|^684973|^693487|^694387|^694783|^694873|^698437|^734869|^738469|^743689|^746839|^748639|^748963|^749863|^764839|^764893|^786349|^836497|^836749|^843679|^846397|^846739|^846973|^849763|^863479|^863497|^863749|^864379|^864793|^867943|^869437|^873469|^874639|^874693|^876349|^894637|^894763|^896347|^936487|^946783|^946873|^963847|^964783|^967843|^968437|^974863|^976483|^978463|^978643|^984367|^986437|^987463	
FS7Zxmqs	987641	986471	N	r:^146987|^147689|^149867|^164789|^164987|^176489|^176849|^178469|^184967|^186479|^186947|^187469|^189467|^194687|^194867|^198647|^417869|^419687|^468719|^476891|^476981|^478169|^479861|^481697|^481769|^486179|^486971|^487691|^489761|^491867|^496187|^496817|^496871|^498167|^498761|^641789|^641897|^647189|^647891|^648719|^648917|^648971|^649871|^674189|^678941|^681497|^684791|^694781|^694871|^697481|^698417|^698471|^714869|^741869|^746891|^746981|^748169|^748691|^761489|^764189|^764891|^768419|^768491|^768941|^784961|^786419|^786491|^786941|^798461|^798641|^816947|^819647|^841697|^846179|^846917|^847169|^861947|^864917|^869471|^871649|^874619|^876149|^891647|^894167|^896417|^897461|^914867|^918647|^947861|^948671|^961487|^961847|^964871|^967481|^968147|^974861|^981467|^984167|^984617|^984761|^986147|^986417|^986471	
Vj3xJTNZ	987632	983267	N	r:^236879|^236897|^237689|^238967|^267389|^267893|^268937|^268973|^269387|^269783|^276389|^276839|^278639|^279863|^283697|^283769|^286397|^286973|^289637|^289763|^297683|^327689|^327869|^329687|^329867|^362897|^362987|^368279|^368729|^369827|^372689|^378269|^378629|^382769|^386279|^386297|^386927|^387269|^398267|^398627|^623879|^628379|^628937|^628973|^629873|^632897|^632987|^637829|^672983|^678329|^679823|^682739|^687923|^689237|^689723|^692387|^693827|^698273|^698723|^726839|^726893|^726983|^728369|^728639|^732689|^762389|^762893|^768329|^768923|^782963|^783269|^786329|^789623|^798263|^823679|^823967|^826379|^827369|^827639|^827693|^829637|^832679|^836729|^862397|^862739|^862973|^863279|^863729|^869273|^872369|^876329|^879623|^892763|^896327|^896723|^897263|^923687|^927683|^927863|^928637|^936827|^962783|^962837|^967823|^968237|^968273|^972683|^976823|^983267	
bieSN15R	987631	987631	N	r:^136879|^136897|^136987|^137869|^138679|^138967|^163789|^163987|^168937|^169783|^169837|^176389|^176983|^178639|^178693|^183697|^186379|^186397|^186793|^187639|^187963|^196387|^196837|^196873|^197683|^198637|^198673|^316879|^318679|^319687|^361789|^367189|^367819|^368197|^368791|^371869|^376819|^376891|^378619|^378691|^379681|^381697|^386719|^387169|^389167|^389761|^396871|^617983|^631789|^631987|^638179|^638719|^638971|^671893|^673891|^679183|^679381|^683719|^687139|^687931|^689317|^689713|^691837|^693871|^697381|^697831|^698371|^698713|^716389|^719683|^731869|^738961|^739861|^761389|^761983|^768139|^768193|^768319|^768931|^781369|^783619|^783691|^786319|^786931|^789631|^796813|^798613|^813697|^819367|^819673|^831679|^831697|^831769|^831967|^836917|^836971|^837619|^839617|^861739|^861937|^863179|^863197|^863917|^867319|^867913|^869137|^869173|^869317|^869371|^871639|^871963|^873619|^876193|^876913|^891763|^893671|^897163|^913687|^916387|^916837|^918763|^937681|^938617|^938761|^961783|^963187|^963817|^963871|^967831|^968137|^968173|^968713|^968731|^971683|^971863|^973681|^981637|^983617|^986137|^987361|^987631	
07hsVYc5	987542	954827	N	r:^245789|^245897|^248579|^248597|^249857|^254879|^254987|^257489|^275489|^278459|^278549|^284759|^284957|^285497|^285749|^287549|^295847|^425879|^425987|^427859|^428579|^428759|^428957|^429587|^457829|^458729|^472859|^475289|^478259|^482597|^482759|^482957|^485729|^489257|^492587|^495827|^498257|^498527|^524789|^527489|^528947|^529847|^542987|^548927|^574289|^584279|^587429|^594287|^594827|^598427|^752489|^754289|^754829|^785249|^825479|^825749|^825947|^827549|^829457|^829547|^842759|^842957|^845279|^845729|^845927|^852749|^854729|^854927|^857249|^872549|^875429|^892457|^892547|^894527|^895247|^925487|^928457|^928547|^942857|^952487|^954287|^954827	
jqjXJRF0	987541	987541	N	r:^145879|^145897|^145987|^147859|^148579|^148957|^154789|^154897|^157489|^158749|^174859|^184957|^185749|^185947|^189547|^415879|^418597|^451879|^451897|^451987|^457189|^457981|^458179|^458197|^458719|^458791|^458917|^458971|^459817|^471589|^479581|^489157|^489571|^491857|^497851|^519487|^541987|^547819|^548719|^548791|^549817|^578419|^581947|^584719|^584791|^584917|^584971|^587149|^589471|^591847|^715489|^715849|^741859|^745189|^745981|^749851|^754891|^754981|^758491|^758941|^798451|^814579|^817549|^819457|^841597|^845179|^845197|^847519|^849571|^851749|^857419|^871459|^875419|^875491|^895471|^914857|^915487|^945817|^947851|^948517|^954871|^974581|^978541|^985417|^985471|^985741|^987541	
z2tivj8P	987532	987523	N	r:^235789|^237859|^238759|^239587|^239857|^253789|^253879|^253987|^257893|^259387|^259783|^259837|^275389|^279583|^283579|^283957|^285937|^289573|^295387|^295837|^295873|^297853|^325987|^328579|^329587|^357829|^358279|^358297|^372859|^382579|^385279|^385927|^387529|^389527|^392857|^395287|^523987|^527983|^528973|^532789|^538297|^538927|^573289|^573829|^578923|^579283|^582793|^582937|^582973|^583279|^589273|^589327|^592387|^592873|^597823|^723589|^723859|^725983|^728953|^735829|^782539|^783259|^783529|^785293|^785329|^785923|^823759|^825397|^825739|^827539|^829537|^832597|^832957|^835927|^852793|^852937|^859273|^872953|^873529|^875239|^875923|^879523|^892357|^893257|^925387|^925783|^927853|^932587|^935827|^938257|^952873|^957823|^958327|^975823|^982573|^983527|^985723|^987523	
